ID;NAME;DESCRIPTION;PARENTCODE;ORDER
TOTAL;Mensual;(TOTAL) Mensual;;0
204211;2042-Noviembre;(204211) 2042-Noviembre;;204211
204212;2042-Diciembre;(204212) 2042-Diciembre;;204212
204101;2041-Enero;(204101) 2041-Enero;;204101
204102;2041-Febrero;(204102) 2041-Febrero;;204102
204103;2041-Marzo;(204103) 2041-Marzo;;204103
204104;2041-Abril;(204104) 2041-Abril;;204104
204105;2041-Mayo;(204105) 2041-Mayo;;204105
204106;2041-Junio;(204106) 2041-Junio;;204106
204107;2041-Julio;(204107) 2041-Julio;;204107
204108;2041-Agosto;(204108) 2041-Agosto;;204108
204109;2041-Septiembre;(204109) 2041-Septiembre;;204109
204110;2041-Octubre;(204110) 2041-Octubre;;204110
204111;2041-Noviembre;(204111) 2041-Noviembre;;204111
204112;2041-Diciembre;(204112) 2041-Diciembre;;204112
204001;2040-Enero;(204001) 2040-Enero;;204001
204002;2040-Febrero;(204002) 2040-Febrero;;204002
204003;2040-Marzo;(204003) 2040-Marzo;;204003
204004;2040-Abril;(204004) 2040-Abril;;204004
204005;2040-Mayo;(204005) 2040-Mayo;;204005
204006;2040-Junio;(204006) 2040-Junio;;204006
204007;2040-Julio;(204007) 2040-Julio;;204007
204008;2040-Agosto;(204008) 2040-Agosto;;204008
204009;2040-Septiembre;(204009) 2040-Septiembre;;204009
204010;2040-Octubre;(204010) 2040-Octubre;;204010
204011;2040-Noviembre;(204011) 2040-Noviembre;;204011
204012;2040-Diciembre;(204012) 2040-Diciembre;;204012
203901;2039-Enero;(203901) 2039-Enero;;203901
203902;2039-Febrero;(203902) 2039-Febrero;;203902
203903;2039-Marzo;(203903) 2039-Marzo;;203903
203904;2039-Abril;(203904) 2039-Abril;;203904
203905;2039-Mayo;(203905) 2039-Mayo;;203905
203906;2039-Junio;(203906) 2039-Junio;;203906
203907;2039-Julio;(203907) 2039-Julio;;203907
203908;2039-Agosto;(203908) 2039-Agosto;;203908
203909;2039-Septiembre;(203909) 2039-Septiembre;;203909
203910;2039-Octubre;(203910) 2039-Octubre;;203910
203911;2039-Noviembre;(203911) 2039-Noviembre;;203911
203912;2039-Diciembre;(203912) 2039-Diciembre;;203912
203801;2038-Enero;(203801) 2038-Enero;;203801
203802;2038-Febrero;(203802) 2038-Febrero;;203802
203803;2038-Marzo;(203803) 2038-Marzo;;203803
203804;2038-Abril;(203804) 2038-Abril;;203804
203805;2038-Mayo;(203805) 2038-Mayo;;203805
203806;2038-Junio;(203806) 2038-Junio;;203806
203807;2038-Julio;(203807) 2038-Julio;;203807
203808;2038-Agosto;(203808) 2038-Agosto;;203808
203809;2038-Septiembre;(203809) 2038-Septiembre;;203809
203810;2038-Octubre;(203810) 2038-Octubre;;203810
203811;2038-Noviembre;(203811) 2038-Noviembre;;203811
203812;2038-Diciembre;(203812) 2038-Diciembre;;203812
203701;2037-Enero;(203701) 2037-Enero;;203701
203702;2037-Febrero;(203702) 2037-Febrero;;203702
203703;2037-Marzo;(203703) 2037-Marzo;;203703
203704;2037-Abril;(203704) 2037-Abril;;203704
203705;2037-Mayo;(203705) 2037-Mayo;;203705
203706;2037-Junio;(203706) 2037-Junio;;203706
203707;2037-Julio;(203707) 2037-Julio;;203707
203708;2037-Agosto;(203708) 2037-Agosto;;203708
203709;2037-Septiembre;(203709) 2037-Septiembre;;203709
203710;2037-Octubre;(203710) 2037-Octubre;;203710
203711;2037-Noviembre;(203711) 2037-Noviembre;;203711
203712;2037-Diciembre;(203712) 2037-Diciembre;;203712
203601;2036-Enero;(203601) 2036-Enero;;203601
203602;2036-Febrero;(203602) 2036-Febrero;;203602
203603;2036-Marzo;(203603) 2036-Marzo;;203603
203604;2036-Abril;(203604) 2036-Abril;;203604
203605;2036-Mayo;(203605) 2036-Mayo;;203605
203606;2036-Junio;(203606) 2036-Junio;;203606
203607;2036-Julio;(203607) 2036-Julio;;203607
203608;2036-Agosto;(203608) 2036-Agosto;;203608
203609;2036-Septiembre;(203609) 2036-Septiembre;;203609
203610;2036-Octubre;(203610) 2036-Octubre;;203610
203611;2036-Noviembre;(203611) 2036-Noviembre;;203611
203612;2036-Diciembre;(203612) 2036-Diciembre;;203612
203501;2035-Enero;(203501) 2035-Enero;;203501
203502;2035-Febrero;(203502) 2035-Febrero;;203502
203503;2035-Marzo;(203503) 2035-Marzo;;203503
203504;2035-Abril;(203504) 2035-Abril;;203504
203505;2035-Mayo;(203505) 2035-Mayo;;203505
203506;2035-Junio;(203506) 2035-Junio;;203506
203507;2035-Julio;(203507) 2035-Julio;;203507
203508;2035-Agosto;(203508) 2035-Agosto;;203508
203509;2035-Septiembre;(203509) 2035-Septiembre;;203509
203510;2035-Octubre;(203510) 2035-Octubre;;203510
203511;2035-Noviembre;(203511) 2035-Noviembre;;203511
203512;2035-Diciembre;(203512) 2035-Diciembre;;203512
203401;2034-Enero;(203401) 2034-Enero;;203401
203402;2034-Febrero;(203402) 2034-Febrero;;203402
203403;2034-Marzo;(203403) 2034-Marzo;;203403
203404;2034-Abril;(203404) 2034-Abril;;203404
203405;2034-Mayo;(203405) 2034-Mayo;;203405
203406;2034-Junio;(203406) 2034-Junio;;203406
203407;2034-Julio;(203407) 2034-Julio;;203407
203408;2034-Agosto;(203408) 2034-Agosto;;203408
203409;2034-Septiembre;(203409) 2034-Septiembre;;203409
203410;2034-Octubre;(203410) 2034-Octubre;;203410
203411;2034-Noviembre;(203411) 2034-Noviembre;;203411
203412;2034-Diciembre;(203412) 2034-Diciembre;;203412
203301;2033-Enero;(203301) 2033-Enero;;203301
203302;2033-Febrero;(203302) 2033-Febrero;;203302
203303;2033-Marzo;(203303) 2033-Marzo;;203303
203304;2033-Abril;(203304) 2033-Abril;;203304
203305;2033-Mayo;(203305) 2033-Mayo;;203305
203306;2033-Junio;(203306) 2033-Junio;;203306
203307;2033-Julio;(203307) 2033-Julio;;203307
203308;2033-Agosto;(203308) 2033-Agosto;;203308
203309;2033-Septiembre;(203309) 2033-Septiembre;;203309
203310;2033-Octubre;(203310) 2033-Octubre;;203310
203311;2033-Noviembre;(203311) 2033-Noviembre;;203311
203312;2033-Diciembre;(203312) 2033-Diciembre;;203312
203201;2032-Enero;(203201) 2032-Enero;;203201
203202;2032-Febrero;(203202) 2032-Febrero;;203202
203203;2032-Marzo;(203203) 2032-Marzo;;203203
203204;2032-Abril;(203204) 2032-Abril;;203204
203205;2032-Mayo;(203205) 2032-Mayo;;203205
203206;2032-Junio;(203206) 2032-Junio;;203206
203207;2032-Julio;(203207) 2032-Julio;;203207
203208;2032-Agosto;(203208) 2032-Agosto;;203208
203209;2032-Septiembre;(203209) 2032-Septiembre;;203209
203210;2032-Octubre;(203210) 2032-Octubre;;203210
203211;2032-Noviembre;(203211) 2032-Noviembre;;203211
203212;2032-Diciembre;(203212) 2032-Diciembre;;203212
203101;2031-Enero;(203101) 2031-Enero;;203101
203102;2031-Febrero;(203102) 2031-Febrero;;203102
203103;2031-Marzo;(203103) 2031-Marzo;;203103
203104;2031-Abril;(203104) 2031-Abril;;203104
203105;2031-Mayo;(203105) 2031-Mayo;;203105
203106;2031-Junio;(203106) 2031-Junio;;203106
203107;2031-Julio;(203107) 2031-Julio;;203107
203108;2031-Agosto;(203108) 2031-Agosto;;203108
203109;2031-Septiembre;(203109) 2031-Septiembre;;203109
203110;2031-Octubre;(203110) 2031-Octubre;;203110
203111;2031-Noviembre;(203111) 2031-Noviembre;;203111
203112;2031-Diciembre;(203112) 2031-Diciembre;;203112
203001;2030-Enero;(203001) 2030-Enero;;203001
203002;2030-Febrero;(203002) 2030-Febrero;;203002
203003;2030-Marzo;(203003) 2030-Marzo;;203003
203004;2030-Abril;(203004) 2030-Abril;;203004
203005;2030-Mayo;(203005) 2030-Mayo;;203005
203006;2030-Junio;(203006) 2030-Junio;;203006
203007;2030-Julio;(203007) 2030-Julio;;203007
203008;2030-Agosto;(203008) 2030-Agosto;;203008
203009;2030-Septiembre;(203009) 2030-Septiembre;;203009
203010;2030-Octubre;(203010) 2030-Octubre;;203010
203011;2030-Noviembre;(203011) 2030-Noviembre;;203011
203012;2030-Diciembre;(203012) 2030-Diciembre;;203012
202901;2029-Enero;(202901) 2029-Enero;;202901
202902;2029-Febrero;(202902) 2029-Febrero;;202902
202903;2029-Marzo;(202903) 2029-Marzo;;202903
202904;2029-Abril;(202904) 2029-Abril;;202904
202905;2029-Mayo;(202905) 2029-Mayo;;202905
202906;2029-Junio;(202906) 2029-Junio;;202906
202907;2029-Julio;(202907) 2029-Julio;;202907
202908;2029-Agosto;(202908) 2029-Agosto;;202908
202909;2029-Septiembre;(202909) 2029-Septiembre;;202909
202910;2029-Octubre;(202910) 2029-Octubre;;202910
202911;2029-Noviembre;(202911) 2029-Noviembre;;202911
202912;2029-Diciembre;(202912) 2029-Diciembre;;202912
202801;2028-Enero;(202801) 2028-Enero;;202801
202802;2028-Febrero;(202802) 2028-Febrero;;202802
202803;2028-Marzo;(202803) 2028-Marzo;;202803
202804;2028-Abril;(202804) 2028-Abril;;202804
202805;2028-Mayo;(202805) 2028-Mayo;;202805
202806;2028-Junio;(202806) 2028-Junio;;202806
202807;2028-Julio;(202807) 2028-Julio;;202807
202808;2028-Agosto;(202808) 2028-Agosto;;202808
202809;2028-Septiembre;(202809) 2028-Septiembre;;202809
202810;2028-Octubre;(202810) 2028-Octubre;;202810
202811;2028-Noviembre;(202811) 2028-Noviembre;;202811
202812;2028-Diciembre;(202812) 2028-Diciembre;;202812
202701;2027-Enero;(202701) 2027-Enero;;202701
202702;2027-Febrero;(202702) 2027-Febrero;;202702
202703;2027-Marzo;(202703) 2027-Marzo;;202703
202704;2027-Abril;(202704) 2027-Abril;;202704
202705;2027-Mayo;(202705) 2027-Mayo;;202705
202706;2027-Junio;(202706) 2027-Junio;;202706
202707;2027-Julio;(202707) 2027-Julio;;202707
202708;2027-Agosto;(202708) 2027-Agosto;;202708
202709;2027-Septiembre;(202709) 2027-Septiembre;;202709
202710;2027-Octubre;(202710) 2027-Octubre;;202710
202711;2027-Noviembre;(202711) 2027-Noviembre;;202711
202712;2027-Diciembre;(202712) 2027-Diciembre;;202712
202601;2026-Enero;(202601) 2026-Enero;;202601
202602;2026-Febrero;(202602) 2026-Febrero;;202602
202603;2026-Marzo;(202603) 2026-Marzo;;202603
202604;2026-Abril;(202604) 2026-Abril;;202604
202605;2026-Mayo;(202605) 2026-Mayo;;202605
202606;2026-Junio;(202606) 2026-Junio;;202606
202607;2026-Julio;(202607) 2026-Julio;;202607
202608;2026-Agosto;(202608) 2026-Agosto;;202608
202609;2026-Septiembre;(202609) 2026-Septiembre;;202609
202610;2026-Octubre;(202610) 2026-Octubre;;202610
202611;2026-Noviembre;(202611) 2026-Noviembre;;202611
202612;2026-Diciembre;(202612) 2026-Diciembre;;202612
202501;2025-Enero;(202501) 2025-Enero;;202501
202502;2025-Febrero;(202502) 2025-Febrero;;202502
202503;2025-Marzo;(202503) 2025-Marzo;;202503
202504;2025-Abril;(202504) 2025-Abril;;202504
202505;2025-Mayo;(202505) 2025-Mayo;;202505
202506;2025-Junio;(202506) 2025-Junio;;202506
202507;2025-Julio;(202507) 2025-Julio;;202507
202508;2025-Agosto;(202508) 2025-Agosto;;202508
202509;2025-Septiembre;(202509) 2025-Septiembre;;202509
202510;2025-Octubre;(202510) 2025-Octubre;;202510
202511;2025-Noviembre;(202511) 2025-Noviembre;;202511
202512;2025-Diciembre;(202512) 2025-Diciembre;;202512
202401;2024-Enero;(202401) 2024-Enero;;202401
202402;2024-Febrero;(202402) 2024-Febrero;;202402
202403;2024-Marzo;(202403) 2024-Marzo;;202403
202404;2024-Abril;(202404) 2024-Abril;;202404
202405;2024-Mayo;(202405) 2024-Mayo;;202405
202406;2024-Junio;(202406) 2024-Junio;;202406
202407;2024-Julio;(202407) 2024-Julio;;202407
202408;2024-Agosto;(202408) 2024-Agosto;;202408
202409;2024-Septiembre;(202409) 2024-Septiembre;;202409
