TEMPORAL;TERRITORIO;INSCRIPCION;SEXO;LUGARNACIMIEN;INDICATOR;OBS_VALUE;FREQ
2016;00;;00;C01;ANDALUCES;9527.0;A
2016;00;;00;C02;ANDALUCES;1332.0;A
2016;00;;00;66;ANDALUCES;12040.0;A
2016;00;;00;NC000;ANDALUCES;3.0;A
2016;00;;00;00;ANDALUCES;22902.0;A
2016;00;;01;04;ANDALUCES;423.0;A
2016;00;;01;11;ANDALUCES;877.0;A
2016;00;;01;14;ANDALUCES;448.0;A
2016;00;;01;18;ANDALUCES;767.0;A
2016;00;;01;21;ANDALUCES;219.0;A
2016;00;;01;23;ANDALUCES;372.0;A
2016;00;;01;29;ANDALUCES;945.0;A
2016;00;;01;41;ANDALUCES;1068.0;A
2016;00;;01;C01;ANDALUCES;5119.0;A
2016;00;;01;C02;ANDALUCES;739.0;A
2016;00;;01;66;ANDALUCES;5977.0;A
2016;00;;01;NC000;ANDALUCES;2.0;A
2016;00;;01;00;ANDALUCES;11837.0;A
2016;00;;06;04;ANDALUCES;345.0;A
2016;00;;06;11;ANDALUCES;745.0;A
2016;00;;06;14;ANDALUCES;370.0;A
2016;00;;06;18;ANDALUCES;629.0;A
2016;00;;06;21;ANDALUCES;177.0;A
2016;00;;06;23;ANDALUCES;325.0;A
2016;00;;06;29;ANDALUCES;914.0;A
2016;00;;06;41;ANDALUCES;903.0;A
2016;00;;06;C01;ANDALUCES;4408.0;A
2016;00;;06;C02;ANDALUCES;593.0;A
2016;00;;06;66;ANDALUCES;6063.0;A
2016;00;;06;NC000;ANDALUCES;1.0;A
2016;00;;06;00;ANDALUCES;11065.0;A
2017;04;;00;04;ANDALUCES;578.0;A
2017;04;;00;11;ANDALUCES;4.0;A
2017;04;;00;14;ANDALUCES;3.0;A
2017;04;;00;18;ANDALUCES;27.0;A
2017;04;;00;23;ANDALUCES;9.0;A
2017;04;;00;29;ANDALUCES;4.0;A
2017;04;;00;41;ANDALUCES;1.0;A
2017;04;;00;C01;ANDALUCES;626.0;A
2017;04;;00;C02;ANDALUCES;90.0;A
2017;04;;00;66;ANDALUCES;1831.0;A
2017;04;;00;NC000;ANDALUCES;1.0;A
2017;04;;00;00;ANDALUCES;2548.0;A
2017;04;;01;04;ANDALUCES;294.0;A
2017;04;;01;11;ANDALUCES;1.0;A
2017;04;;01;14;ANDALUCES;1.0;A
2017;04;;01;18;ANDALUCES;18.0;A
2017;04;;01;23;ANDALUCES;4.0;A
2017;04;;01;29;ANDALUCES;4.0;A
2017;04;;01;C01;ANDALUCES;322.0;A
2017;04;;01;C02;ANDALUCES;45.0;A
2017;04;;01;66;ANDALUCES;881.0;A
2017;04;;01;NC000;ANDALUCES;1.0;A
2017;04;;01;00;ANDALUCES;1249.0;A
2017;04;;06;04;ANDALUCES;284.0;A
2017;04;;06;11;ANDALUCES;3.0;A
2017;04;;06;14;ANDALUCES;2.0;A
2017;04;;06;18;ANDALUCES;9.0;A
2017;04;;06;23;ANDALUCES;5.0;A
2017;04;;06;41;ANDALUCES;1.0;A
2017;04;;06;C01;ANDALUCES;304.0;A
2017;04;;06;C02;ANDALUCES;45.0;A
2017;04;;06;66;ANDALUCES;950.0;A
2017;04;;06;00;ANDALUCES;1299.0;A
2017;11;;00;04;ANDALUCES;1.0;A
2017;11;;00;11;ANDALUCES;1152.0;A
2017;11;;00;14;ANDALUCES;13.0;A
2017;11;;00;18;ANDALUCES;7.0;A
2017;11;;00;21;ANDALUCES;3.0;A
2017;11;;00;23;ANDALUCES;4.0;A
2017;11;;00;29;ANDALUCES;15.0;A
2017;11;;00;41;ANDALUCES;38.0;A
2017;11;;00;C01;ANDALUCES;1233.0;A
2017;11;;00;C02;ANDALUCES;186.0;A
2017;11;;00;66;ANDALUCES;916.0;A
2017;11;;00;00;ANDALUCES;2335.0;A
2017;11;;01;11;ANDALUCES;574.0;A
2017;11;;01;14;ANDALUCES;8.0;A
2017;11;;01;18;ANDALUCES;4.0;A
2017;11;;01;21;ANDALUCES;3.0;A
2017;11;;01;23;ANDALUCES;2.0;A
2017;11;;01;29;ANDALUCES;9.0;A
2017;11;;01;41;ANDALUCES;17.0;A
2017;11;;01;C01;ANDALUCES;617.0;A
